customer_id,date_registered,gender,employer,job,age,salary
24c9d2d0-d0d3-4a90-9a3a-e00e4aac99bd,2021-09-29,M,a2e5631b9eb4ab110d98fff28178c4bd20e9c2dea0d822b8e4de47fd717fde25,847953c7c1bef61e2ea6d7cb7d8061e3cfc7890239d2aa083be344cf1304b1c2,40 - 49,54000
7b2bc220-0296-4914-ba46-d6cc6a55a62a,2019-08-17,F,a8a4a9f4669c14da68479a0cb5505d4115c9d6cee096ef6b6aa9e088ea81290d,5124dd1227dcf3135500059a76ed9a2bb37c80f8341fde379889aed01bd2270d,40 - 49,82000
06febdf9-07fb-4a1b-87d7-a5f97d9a5faf,2019-11-01,M,ce5b9ed5f6fddafa761843a9d1235c312fbafb8516b7fd5f0c058f663e08a0d4,8d4277a3e9386a478273e969d4e24c2cbce451677fd49e91acce48c3b1e2d7d1,40 - 49,205000
23df88e5-5dd3-46af-ac0d-0c6bd92e4b96,2021-12-31,F,8f037308147ed902c152496c8c02f2569bf5cd75b75b6004595ba0599696c101,1aa7059579295f5d0d837fa8f8c01f0206a9207e0daa7d1ce8bf855be618df15,30 - 39,116000
6069c2d7-7905-4993-a155-64f6aba143b1,2020-08-09,F,ecdd87961fc686b931267ace5a440882bf64c3c80c29731dffac6175dd1e6388,f04c1c7e30210f09d47fca93074fed043943bf351b03371e6cfc579d94fe81ee,50 - 59,108000
aee2c6aa-c9a4-488c-9e10-6a09dbe2f199,2021-12-29,M,be21a27c9fd11e5c22b147dfbdc02ba0bb0cd3f95e2a2cf40493f8ce40163cb0,bc6f761d10c8f40864faa6bb873cfaa5b2a6f57b50f5f048c7728c716208e769,40 - 49,41000
4d52c646-8cc7-4935-9119-130be16518ba,2019-09-13,F,85fb4f3060fe88a713ebf426a7de1f66b2635043bce64ba740c5a6b3030e8bcc,f7d3d70f4992df909f3f96993cd71769169c8b51e0d73a222e0aff0db4eb83e5,50 - 59,177000
2a8e2be0-7e41-4a56-9092-7a6258e4d5a1,2021-10-06,F,245c72bc00800866190eadc95efa88bbad981600895f0e3fca38cd0ce4237a6b,37efb0156ae58cb15d88c4bc7e5bfff25af621b020c3f0f18a5c952b4fc260a4,50 - 59,69000
906fc563-00bb-4974-9e8a-d3d97608ad64,2021-11-01,F,cde7565dc2f08369a2b1be970de0db9f205f09a5adbc90850bb4afb558194451,ad20dd7437bc1af32e0d287577a1300dab8c4c186a6d1b906ff4b4e2870550c0,60 - 69,179000
44f14da1-5b00-4b6a-bfe4-5be67a4b2521,2020-04-01,F,a76ac053a080df327ec94f7631e23b3b051c875896a0b2ea09b12cc89f1f16f8,2427a7aa89875dfd02874e1e22e987b13034f60d1a9343d91dfc05ad1fde20d8,20 - 29,99000
